symbol,displayName,displayNameEn,positionOpenType,baseCoin,quoteCoin,baseCoinName,quoteCoinName,futureType,settleCoin,contractSize,minLeverage,maxLeverage,countryConfigContractMaxLeverage,priceScale,volScale,amountScale,priceUnit,volUnit,minVol,maxVol,bidLimitPriceRate,askLimitPriceRate,takerFeeRate,makerFeeRate,maintenanceMarginRate,initialMarginRate,riskBaseVol,riskIncrVol,riskLongShortSwitch,riskIncrMmr,riskIncrImr,riskLevelLimit,priceCoefficientVariation,indexOrigin,state,isNew,isHot,isHidden,conceptPlate,conceptPlateId,riskLimitType,maxNumOrders,marketOrderMaxLevel,marketOrderPriceLimitRate1,marketOrderPriceLimitRate2,triggerProtect,appraisal,showAppraisalCountdown,automaticDelivery,apiAllowed,depthStepList,limitMaxVol,threshold,baseCoinIconUrl,id,vid,baseCoinId,createTime,openingTime,openingCountdownOption,showBeforeOpen,isMaxLeverage,isZeroFeeRate,riskLimitMode,isZeroFeeSymbol,riskLimitCustom,deliveryTime,deliveryPriceTrend
AGLD_USDT,AGLD_USDT永续,AGLD_USDT PERPETUAL,3,AGLD,USDT,AGLD,USDT,1,USDT,0.1,1,200,0,4,0,4,0.0001,1,1,2100000,0.2,0.2,0.0002,0,0.004,0.005,2100000,2100000,0,0.004,0.004,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'OKX' 'MEXC'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001' '0.01'],2100000,0,https://public.mocortech.com/coin/F20210903091013605tzBBR009iBgTMe.png,145,128f589271cb4951b03e71e6323eb7be,0c2d37c362e34edb9b21460a5b1dd460,1630721726000,0,1,True,False,False,INCREASE,False,,,
SCA_USDT,SCA_USDT永续,SCA_USDT PERPETUAL,3,SCA,USDT,SCA,USDT,1,USDT,1.0,1,100,0,4,0,4,0.0001,1,1,300000,0.2,0.2,0.0002,0,0.005,0.01,300000,300000,0,0.005,0.005,1,0.2,['BITGET' 'BYBIT' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001'],300000,0,https://public.mocortech.com/coin/F20240307200619252YA6ON6VtJAhXsC.jpg,549,128f589271cb4951b03e71e6323eb7be,4a2f254dff9349f9b454364f23a7f51c,1710324772000,0,1,True,False,False,INCREASE,False,,,
ME_USDT,ME_USDT永续,ME_USDT PERPETUAL,3,ME,USDT,ME,USDT,1,USDT,0.1,1,100,0,3,0,4,0.001,1,1,1100000,0.2,0.2,0.0002,0,0.005,0.01,1100000,1100000,0,0.055,0.09,1,0.2,['BYBIT' 'BINANCE' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.001' '0.01'],1100000,0,https://public.mocortech.com/coin/F20241206185536760rCkgjPq9vBMchQ.png,857,128f589271cb4951b03e71e6323eb7be,db6ca0b56e27455db4ac337cafeeb9d7,1733737899000,1733839440000,1,True,False,False,INCREASE,False,,,
ANKR_USDT,ANKR_USDT永续,ANKR_USDT PERPETUAL,3,ANKR,USDT,ANKR,USDT,1,USDT,1.0,1,75,0,5,0,4,1e-05,1,1,9000000,0.2,0.2,0.0002,0,0.007,0.0133,9000000,9000000,0,0.053,0.0866,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.00001' '0.0001' '0.001'],9000000,0,https://public.mocortech.com/coin/F20210422152539820xTvHYxHd2oCzk5.png,110,128f589271cb4951b03e71e6323eb7be,3d550c3279c34bc2be1024938994843d,1617249194000,0,1,True,False,False,INCREASE,False,,,
SNX_USDT,SNX_USDT永续,SNX_USDT PERPETUAL,3,SNX,USDT,SNX,USDT,1,USDT,0.1,1,75,0,3,0,4,0.001,1,1,2000000,0.2,0.2,0.0002,0,0.007,0.0133,2000000,2000000,0,0.053,0.0866,1,0.2,['BITGET' 'BINANCE' 'OKX' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.001' '0.01' '0.1'],2000000,0,https://public.mocortech.com/coin/F20210517140920755PtWkM4HNz682jw.png,121,128f589271cb4951b03e71e6323eb7be,d5b141d441554c3499b10620fbd1e26f,1619621752000,0,1,True,False,False,INCREASE,False,,,
C98_USDT,C98_USDT永续,C98_USDT PERPETUAL,3,C98,USDT,C98,USDT,1,USDT,1.0,1,125,0,4,0,4,0.0001,1,1,3000000,0.2,0.2,0.0002,0,0.004,0.008,3000000,3000000,0,0.004,0.004,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'MEXC'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001'],3000000,0,https://public.mocortech.com/coin/F20230701183826230nyVYvnGaRnvfgN.png,132,128f589271cb4951b03e71e6323eb7be,68bfbeb3b3684b4b8cd20457c3d5988b,1627438565000,0,1,True,False,False,INCREASE,False,,,
SUSHI_USDT,SUSHI_USDT永续,SUSHI_USDT PERPETUAL,3,SUSHI,USDT,SUSHI,USDT,1,USDT,0.1,1,75,0,4,0,4,0.0001,1,1,3300000,0.2,0.2,0.0002,0,0.007,0.0133,3300000,3300000,0,0.053,0.0866,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'HTX' 'OKX' 'MEXC'],0,False,False,False,['mc-trade-zone-Arbitrum'],[24],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001'],3300000,0,https://public.mocortech.com/coin/F20210517140514763vtiyKDbLZNY9zc.png,35,128f589271cb4951b03e71e6323eb7be,e558e17c31bd4c50af42e64922f6858a,1598950683000,0,1,True,False,False,INCREASE,False,,,
MNT_USDT,MNT_USDT永续,MNT_USDT PERPETUAL,3,MNT,USDT,MNT,USDT,1,USDT,10.0,1,20,0,4,0,4,0.0001,1,1,50000,0.2,0.2,0.0002,0,0.02,0.05,50000,50000,0,0.04,0.05,1,0.2,['BYBIT' 'HTX' 'MEXC' 'KUCOIN'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001'],50000,0,https://public.mocortech.com/coin/F202502072153236360rrXNV2BFR9u6s.jpg,450,128f589271cb4951b03e71e6323eb7be,c9c5c93511724e2781ea6915c977aa89,1689589426000,0,1,True,False,False,INCREASE,False,,,
DYM_USDT,DYM_USDT永续,DYM_USDT PERPETUAL,3,DYM,USDT,DYM,USDT,1,USDT,1.0,1,50,0,3,0,4,0.001,1,1,160000,0.2,0.2,0.0002,0,0.004,0.02,160000,160000,0,0.056,0.092,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'MEXC'],0,False,False,False,[],[],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.001' '0.01'],160000,0,https://public.mocortech.com/coin/F20240206130528777UUOrrm5V0DFAyT.png,536,128f589271cb4951b03e71e6323eb7be,4d75d22cb511477c92e652e873d9be23,1707240186000,0,1,True,False,False,INCREASE,False,,,
SCR_USDT,SCR_USDT永续,SCR_USDT PERPETUAL,3,SCR,USDT,SCR,USDT,1,USDT,1.0,1,125,0,4,0,4,0.0001,1,1,85000,0.2,0.2,0.0002,0,0.004,0.008,85000,85000,0,0.004,0.004,1,0.2,['BITGET' 'BYBIT' 'BINANCE' 'MEXC'],0,False,False,False,['mc-trade-zone-layer2'],[5],BY_VOLUME,[200  50],20,0.2,0.005,0.1,0,0,0,False,['0.0001' '0.001'],85000,0,https://public.mocortech.com/coin/F20241018175112399FpNEa3E14SoqtT.jpeg,733,128f589271cb4951b03e71e6323eb7be,6cc5fb0deba645bc84f0b23ed494e21d,1729499048000,1729584180000,1,True,False,False,INCREASE,False,,,
